,id1,name,weibo_num,follow,follower,id_tiezi,time,hanzi,comment_num,zan,zhuanfa
19,1618051664,头条新闻,180254,1588,77585671,4407484280147479,2019-08-20,岁孩子电梯拆指纹锁母亲拒绝赔偿他才还是个孩子费解他才他还是孩子岁男子扯下电梯指纹锁高楼抛下孩子母亲的辩解引发争议据报道毁坏指纹锁起因是男子看到自家楼层未安指纹锁心理不平衡有律师表示男子已成年有两个行为违法一是故意破坏电梯如情节严重可能全文,3002,27705,743
20,1618051664,头条新闻,180254,1588,77585671,4407482443438557,2019-08-20,茶盘上修长城太厉害了酷,47,392,47
21,1618051664,头条新闻,180254,1588,77585671,4407478526002693,2019-08-20,新闻联播提醒美国副总统补历史课美国副总统彭斯把香港问题与中美经贸协议直接挂钩是赤裸裸地将经贸问题政治化公然干涉中国内政用心极其险恶彭斯副总统应该去补一补历史课拿中英联合声明这份过时无效文件干涉香港事务与中国内政不仅让自己沦为国际笑柄也令美国国家形象蒙羞全文,2409,10391,606
22,1618051664,头条新闻,180254,1588,77585671,4407474482806228,2019-08-20,童文洁惨遭职场性骚扰绝不能容忍职场性骚扰加油海清海清对于职场性骚扰坚决不能容忍无论男女同情和理解童文洁但我觉得真正该辞职的应是拳头,77,438,98
23,1618051664,头条新闻,180254,1588,77585671,4407473664411185,2019-08-20,面对职场性骚扰你会怎么做思考童文洁惨遭职场性骚扰小欢喜中童文洁海清海清遭遇职场上司性骚扰同时承受着丈夫失业孩子升学压力苦苦支撑着的童文洁选择了默默辞职面对职场性骚扰你会怎么做头条新闻的微博投票,238,30966,91
24,1618051664,头条新闻,180254,1588,77585671,4407468681537434,2019-08-20,如何应对职场性骚扰小欢喜童文洁辞职引热议童文洁惨遭职场性骚扰电视剧小欢喜中童文洁海清海清遭遇职场上司性骚扰同时承受着丈夫失业孩子升学压力苦苦支撑着的童文洁选择了默默辞职这样的做法也引起了许多追剧网友讨论面对职场性骚扰什么样的态度和做法才能更好保护全文,980,13092,2622
25,1618051664,头条新闻,180254,1588,77585671,4407464214441201,2019-08-20,三大运营商否认网络降速你觉得最近网速变慢了吗有传言称为了推广网络速度下降对此三大运营商相关客服工作人员均表示否认称速度会更快没接到降速的通知你觉得最近网速变慢了吗头条新闻的微博投票,1156,35406,447
26,1618051664,头条新闻,180254,1588,77585671,4407460272259142,2019-08-20,藏獒混入狼群年成狼王第一口肉孝敬老狼王近日狼群中的藏獒王在快手走红内蒙古赤峰的一个狼场一只藏獒和狼群一起长大藏獒有时会受到狼群攻击老狼王会挺身而出保护它后来两只狼想要在争斗中夺取老狼王地位虽然老狼王落败但藏獒却在协助狼王的战斗中威慑住狼群成新王全文,382,4080,443
27,1618051664,头条新闻,180254,1588,77585671,4407454484083547,2019-08-20,医院太平间收死者买路钱院方道歉并赔偿月日上午长沙市民马女士的家属在湖南省第二人民医院停止了呼吸家属请来殡葬公司料理后事死者遗体还没出医院门马女士被太平间的工作人员拦下声称要收取元的买路钱最后经过双方协商家属最终交纳元才将遗体运出了医院太平间全文,833,4642,252
28,1618051664,头条新闻,180254,1588,77585671,4407450977902592,2019-08-20,我国超万成年人独居是你吗目前中国有超亿单身成年人其中包括多万独居成年人有些人甚至将孤独的至级都体验了一遍喵喵照理来说并不缺钱的独居青年为什么依然贫穷能外卖绝不做饭一个人也要嗨歌养宠物比谈恋爱省事这样的独居青年是你吗新浪图解天下新浪图解天下全文,595,2230,610
29,1618051664,头条新闻,180254,1588,77585671,4407447127529886,2019-08-20,海南三亚发生级地震,87,213,45
30,1618051664,头条新闻,180254,1588,77585671,4407435965722352,2019-08-20,开饭啦饺子皮油泼面没想到吧不用擀面用饺子皮就能做成油泼面简单易做分钟能完成赶紧来一碗吧私房菜的微博视频,171,1579,1021
31,1618051664,头条新闻,180254,1588,77585671,4407429720666374,2019-08-20,大陆暂停赴台自由行后台拟开放第三方入境免签并不简单据台湾媒体月日报道大陆暂停游客赴台自由行后台交通部长林佳龙宣称将研议开放大陆游客经第三方入境来台免签不过台湾媒体对此并不看好此前不久文化和旅游部暂停个城市大陆居民赴台个人游试点有旅游业者估计台全文,5371,132474,924
32,1618051664,头条新闻,180254,1588,77585671,4407423563267001,2019-08-20,华人大妈出手追打分裂分子你大妈还是你大妈近日澳大利亚悉尼一男子举牌支持乱港分裂分子华人大妈拎包追打感受下大妈的战斗力网友你大妈还是你大妈自己摔得啊可别赖我大妈为中国大妈说句公道话人民日报的微博视频,514,3925,254
33,1618051664,头条新闻,180254,1588,77585671,4407416453717516,2019-08-20,微博十年你玩微博多久了心解锁微博十年独家记忆后才发现居然在微博上熬了这么多次夜一天最多竟发布了上百次评论用了几千次的狗头果然是本命表情微博不知不觉已经陪伴了我们十年你玩微博多久了头条新闻的微博投票,333,23811,224
34,1618051664,头条新闻,180254,1588,77585671,4407410725080487,2019-08-20,推特脸书删近千账号耿爽不知道是不是戳中了他们的短处外交部回应推特脸书删账号社交媒体推特和脸书周一宣布封锁平台上的大量账号称这些账号散布关于香港示威的假消息还称背后是由中国官方主导同日推特还宣布记者提问说推特周一还宣布停止接受来自中国政府控制的新闻媒全文,1146,9347,729
35,1618051664,头条新闻,180254,1588,77585671,4407405896912147,2019-08-20,有外部势力介入俄罗斯非法游行外交部与在香港如出一辙有记者提问据报道莫斯科近期发生一系列示威游行美国驻俄罗斯大使馆在官网发表声明称俄罗斯当局继续限制公民通过自由公正的选举进行和平集会和行使基本权利并贴上莫斯科游行路线图标注示威聚集点俄罗斯外交部发言人扎哈罗全文,352,1820,190
36,1618051664,头条新闻,180254,1588,77585671,4407398813304944,2019-08-20,香港将军澳发生持刀伤人事件男子砍伤男女后逃跑多家香港媒体今日密集报道日凌晨时许香港将军澳发生持刀砍人事件男子在一行人隧道中持刀砍伤男女后逃跑有人在案发现场附近的居民楼楼梯里发现行凶者的衣服但行凶者下落不明警方表示行凶者年纪大约至岁身高约米行全文,423,1880,452
37,1618051664,头条新闻,180254,1588,77585671,4407393058322781,2019-08-20,并不简单海峡之声海峡之声欢迎海峡对岸的同胞们来大陆走走看看太开心,630,2166,289
38,1618051664,头条新闻,180254,1588,77585671,4407391304912637,2019-08-20,现场香港英籍警官自述岁女儿校内被灌输要以警父为耻老师教育女孩要以港警父亲为耻据央视报道近日香港警察机动部队校长庄定贤接受采访时说自己岁的女儿在学校内被体育老师灌输她应为其父亲所为而感恶心燃新闻的微博视频,689,6901,367
